,content_length,content_type,date_retrieved,eis_number,file_url_epa,file_url_s3,last_modified,title
37,33704615,application/pdf,2014-12-23 15:53:35.252085,20140358,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140358/%24file/Sunnydale-Velasco%20HOPE%20SF%20DEIR-EIS_Appendices.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140358/sunnydalevelasco-hope-sf-deireis_appendices.pdf,"Tue, 23 Dec 2014 11:36:37 GMT",EIS Document: Sunnydale-Velasco HOPE SF DEIR-EIS_Appendices.pdf
38,14514991,application/pdf,2014-12-23 15:53:35.310717,20140369,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140369/%24file/FEIS%20CB-GF%20Expansion%20-%20WEB%20normal-FINAL.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140369/feis-cbgf-expansion--web-normalfinal.pdf,"Tue, 23 Dec 2014 11:29:01 GMT",EIS Document: FEIS CB-GF Expansion - WEB normal-FINAL.pdf
39,8461979,application/pdf,2014-12-23 15:53:35.401035,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/Final%20EIS%20%28entire%20document%29.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/final-eis-entire-document.pdf,"Tue, 23 Dec 2014 11:24:02 GMT",EIS Document: Final EIS (entire document).pdf
40,973942,application/pdf,2014-12-23 15:53:35.453673,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/Figure5_AltA_LandAvailability_11x17.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/figure5_alta_landavailability_11x17.pdf,"Tue, 23 Dec 2014 11:23:52 GMT",EIS Document: Figure5_AltA_LandAvailability_11x17.pdf
41,1153638,application/pdf,2014-12-23 15:53:35.503596,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/Figure6_AltA_Stipulations1993_11x17.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/figure6_alta_stipulations1993_11x17.pdf,"Tue, 23 Dec 2014 11:24:02 GMT",EIS Document: Figure6_AltA_Stipulations1993_11x17.pdf
42,1051172,application/pdf,2014-12-23 15:53:35.552805,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/Figure7_AltA_LeasedLands_11x17.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/figure7_alta_leasedlands_11x17.pdf,"Tue, 23 Dec 2014 11:24:02 GMT",EIS Document: Figure7_AltA_LeasedLands_11x17.pdf
43,1540495,application/pdf,2014-12-23 15:53:35.605029,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/Figure8_AltB_LeasedLands_11x17.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/figure8_altb_leasedlands_11x17.pdf,"Tue, 23 Dec 2014 11:23:52 GMT",EIS Document: Figure8_AltB_LeasedLands_11x17.pdf
44,1566176,application/pdf,2014-12-23 15:53:35.652647,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/Figure9_AltB_LeaseExpiration11x17.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/figure9_altb_leaseexpiration11x17.pdf,"Tue, 23 Dec 2014 11:24:02 GMT",EIS Document: Figure9_AltB_LeaseExpiration11x17.pdf
45,1360044,application/pdf,2014-12-23 15:53:35.702713,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/Figure10_AltC_LandAvailability_11x17.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/figure10_altc_landavailability_11x17.pdf,"Tue, 23 Dec 2014 11:23:52 GMT",EIS Document: Figure10_AltC_LandAvailability_11x17.pdf
46,790478,application/pdf,2014-12-23 15:53:35.752792,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/Figure11_AltC_LandAvailability_NSO_11x17.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/figure11_altc_landavailability_nso_11x17.pdf,"Tue, 23 Dec 2014 11:23:52 GMT",EIS Document: Figure11_AltC_LandAvailability_NSO_11x17.pdf
47,796259,application/pdf,2014-12-23 15:53:35.803437,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/Figure12_AltC_LandAvailability_CSU_11x17.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/figure12_altc_landavailability_csu_11x17.pdf,"Tue, 23 Dec 2014 11:24:02 GMT",EIS Document: Figure12_AltC_LandAvailability_CSU_11x17.pdf
48,791795,application/pdf,2014-12-23 15:53:35.852092,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/Figure13_AltC_LandAvailability_TL_11x17.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/figure13_altc_landavailability_tl_11x17.pdf,"Tue, 23 Dec 2014 11:24:02 GMT",EIS Document: Figure13_AltC_LandAvailability_TL_11x17.pdf
49,1390992,application/pdf,2014-12-23 15:53:35.900912,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/Figure14_AltC_LeasedLands_11x17.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/figure14_altc_leasedlands_11x17.pdf,"Tue, 23 Dec 2014 11:24:02 GMT",EIS Document: Figure14_AltC_LeasedLands_11x17.pdf
50,1655023,application/pdf,2014-12-23 15:53:35.948880,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/12-09-14%20-%20Opportunity%20to%20Object%2C%20Oil%20and%20Gas.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/120914--opportunity-to-object-oil-and-gas.pdf,"Tue, 23 Dec 2014 11:24:02 GMT","EIS Document: 12-09-14 - Opportunity to Object, Oil and Gas.pdf"
51,820793,application/pdf,2014-12-23 15:53:35.999012,20140361,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140361/%24file/WRNF%20Oil%20and%20Gas%20DRAFT_ROD_12_14.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140361/wrnf-oil-and-gas-draft_rod_12_14.pdf,"Tue, 23 Dec 2014 11:23:52 GMT",EIS Document: WRNF Oil and Gas DRAFT_ROD_12_14.pdf
52,3024085,application/pdf,2014-12-23 15:53:36.060835,20140360,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140360/%24file/SEP-HCP%20Draft%20EIS%2010-10-2014.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140360/sephcp-draft-eis-10102014.pdf,"Tue, 23 Dec 2014 11:27:56 GMT",EIS Document: SEP-HCP Draft EIS 10-10-2014.pdf
53,1345741,application/pdf,2014-12-23 15:53:36.124006,20140370,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140370/%24file/NWTT_Supplement_DEIS-OEIS.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140370/nwtt_supplement_deisoeis.pdf,"Tue, 23 Dec 2014 11:28:59 GMT",EIS Document: NWTT_Supplement_DEIS-OEIS.pdf
